SNR,Traditional,SVM,RF,DT
0,0.157546875,0.15910416666666666,0.1832265625,0.2201015625
2,0.10359114583333333,0.10442447916666667,0.11861458333333333,0.16324479166666667
4,0.05649739583333333,0.056856770833333334,0.06255729166666667,0.08472395833333334
6,0.0228671875,0.0229453125,0.026203125,0.040403645833333335
8,0.005989583333333334,0.00596875,0.007065104166666667,0.012328125
10,0.0007682291666666666,0.000765625,0.0008984375,0.0034375
12,2.604166666666667e-05,2.604166666666667e-05,4.9479166666666665e-05,0.0008255208333333334
14,0.0,0.0,0.0,0.000140625
16,0.0,0.0,0.0,1.0416666666666666e-05
18,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
